Year,Month,Date,Treatment,Crop,Average LH
2019,June_2019,6/12/2019,BM,AOg2,0.34
2019,June_2019,6/12/2019,IM,AOg2,0.23
2019,June_2019,6/12/2019,BAU,AOg2,0.2
2019,June_2019,6/19/2019,BM,AOg2,0.49
2019,June_2019,6/19/2019,IM,AOg2,0.61
2019,June_2019,6/19/2019,BAU,AOg2,0.71
2019,July_2019,7/17/2019,BM,AOg2,0.31
2019,July_2019,7/17/2019,IM,AOg2,0.2
2019,July_2019,7/17/2019,BAU,AOg2,0
2019,July_2019,7/24/2019,BM,AOg2,0.5
2019,July_2019,7/24/2019,IM,AOg2,0.6
2019,July_2019,7/24/2019,BAU,AOg2,0.71
2019,August_2019,8/7/2019,BM,AOg2,0.12
2019,August_2019,8/7/2019,IM,AOg2,0.18
2019,August_2019,8/7/2019,BAU,AOg2,0.13
2019,August_2019,8/15/2019,BM,AOg2,0.23
2019,August_2019,8/15/2019,IM,AOg2,0.21
2019,August_2019,8/15/2019,BAU,AOg2,0.21
2019,August_2019,8/21/2019,BM,AOg2,0.72
2019,August_2019,8/21/2019,IM,AOg2,0.72
2019,August_2019,8/21/2019,BAU,AOg2,0.81
2020,June_2020,6/22/2020,BM,AOg1,1.09
2020,June_2020,6/22/2020,BM,AOg2,1.74
2020,June_2020,6/22/2020,IM,AOg1,1.17
2020,June_2020,6/22/2020,IM,AOg2,1.38
2020,June_2020,6/22/2020,BAU,AOg1,0.14
2020,June_2020,6/22/2020,BAU,AOg2,1.44
2021,June_2021,6/10/2021,BM,AOg1,0.5
2021,June_2021,6/10/2021,IM,AOg1,0.4
2021,June_2021,6/10/2021,BAU,AOg1,0.1
2021,June_2021,6/10/2021,BAU,AOg2,0.1
2021,July_2021,7/7/2021,BM,AOg1,0.1
2021,July_2021,7/7/2021,BM,AOg2,0.2
2021,July_2021,7/7/2021,IM,AOg1,0.2
2021,July_2021,7/7/2021,IM,AOg2,0.2
2021,July_2021,7/7/2021,BAU,AOg1,0.3
2021,July_2021,7/7/2021,BAU,AOg2,0.1
2021,July_2021,7/15/2021,BM,AOg1,0.3
2021,July_2021,7/15/2021,BM,AOg2,0.3
2021,July_2021,7/15/2021,IM,AOg1,0.3
2021,July_2021,7/15/2021,IM,AOg2,0.3
2022,June_2022,6/8/2022,BM,AOg1,0.1
2022,June_2022,6/8/2022,BM,AOg2,0.1
2022,June_2022,6/8/2022,IM,AOg1,0.1
2022,June_2022,6/8/2022,IM,AOg2,0.2
2022,June_2022,6/8/2022,BAU,AOg1,0.1
2022,June_2022,6/8/2022,BAU,AOg2,0.1
2022,June_2022,6/15/2022,BM,AOg1,0.8
2022,June_2022,6/15/2022,BM,AOg2,0.6
2022,June_2022,6/15/2022,IM,AOg1,0.9
2022,June_2022,6/15/2022,IM,AOg2,0.7
2022,June_2022,6/15/2022,BAU,AOg1,0.5
2022,June_2022,6/15/2022,BAU,AOg2,0.2
2022,June_2022,6/28/2022,BM,AOg1,0.3
2022,June_2022,6/28/2022,BM,AOg2,0.2
2022,June_2022,6/28/2022,IM,AOg1,0.3
2022,June_2022,6/28/2022,IM,AOg2,0.2
2022,June_2022,6/28/2022,BAU,AOg1,0.3
2022,June_2022,6/28/2022,BAU,AOg2,0.1
2022,July_2022,7/14/2022,BM,AOg1,0.1
2022,July_2022,7/14/2022,BM,AOg2,0.1
2022,July_2022,7/14/2022,IM,AOg1,0.1
2022,July_2022,7/14/2022,IM,AOg2,0.1
2022,July_2022,7/14/2022,BAU,AOg1,0.1
2022,July_2022,7/14/2022,BAU,AOg2,0
2022,July_2022,7/20/2022,BM,AOg1,0.1
2022,July_2022,7/20/2022,BM,AOg2,0.1
2022,July_2022,7/20/2022,IM,AOg1,0.1
2022,July_2022,7/20/2022,IM,AOg2,0.1
2022,July_2022,7/20/2022,BAU,AOg1,0
2022,July_2022,7/20/2022,BAU,AOg2,0
2022,August_2022,8/2/2022,BM,AOg1,0
2022,August_2022,8/2/2022,BM,AOg2,0
2022,August_2022,8/2/2022,IM,AOg1,0
2022,August_2022,8/2/2022,IM,AOg2,0
2022,August_2022,8/2/2022,BAU,AOg1,0
2022,August_2022,8/2/2022,BAU,AOg2,0
2022,August_2022,8/10/2022,BM,AOg1,0.2
2022,August_2022,8/10/2022,BM,AOg2,0.2
2022,August_2022,8/10/2022,IM,AOg1,0.2
2022,August_2022,8/10/2022,IM,AOg2,0.2
2022,August_2022,8/10/2022,BAU,AOg1,0.1
2022,August_2022,8/10/2022,BAU,AOg2,0.1
2022,August_2022,8/17/2022,BM,AOg1,0.1
2022,August_2022,8/17/2022,BM,AOg2,0.1
2022,August_2022,8/17/2022,IM,AOg1,0.1
2022,August_2022,8/17/2022,IM,AOg2,0.1
2022,August_2022,8/17/2022,BAU,AOg1,0.1
2022,August_2022,8/17/2022,BAU,AOg2,0.1
2022,August_2022,8/29/2022,BM,AOg1,0
2022,August_2022,8/29/2022,BM,AOg2,0
2022,August_2022,8/29/2022,IM,AOg1,0
2022,August_2022,8/29/2022,IM,AOg2,0
2022,August_2022,8/29/2022,BAU,AOg1,0
2022,August_2022,8/29/2022,BAU,AOg2,0
2022,September_2022,9/16/2022,BM,AOg1,0
2022,September_2022,9/16/2022,BM,AOg2,0
2022,September_2022,9/16/2022,IM,AOg1,0
2022,September_2022,9/16/2022,IM,AOg2,0
2022,September_2022,9/16/2022,BAU,AOg1,0
2022,September_2022,9/16/2022,BAU,AOg2,0
