Year,Date,Treatment,Crop,Average LH Per Sweep,Average Plant Height(cm)
2022,6/8/2022,BM,AOg1,0.1,19.2
2022,6/8/2022,BM,AOg2,0.1,19.8
2022,6/8/2022,IM,AOg1,0.1,19.1
2022,6/8/2022,IM,AOg2,0.2,19.4
2022,6/15/2022,BM,AOg1,0.8,30.1
2022,6/15/2022,BM,AOg2,0.6,32.0
2022,6/15/2022,IM,AOg1,0.9,30.5
2022,6/15/2022,IM,AOg2,0.7,31.2
2022,6/28/2022,BM,AOg1,0.3,10.7
2022,6/28/2022,BM,AOg2,0.2,10.5
2022,6/28/2022,IM,AOg1,0.3,10.9
2022,6/28/2022,IM,AOg2,0.2,10.8
2022,7/14/2022,BM,AOg1,0.1,35.7
2022,7/14/2022,BM,AOg2,0.1,36.9
2022,7/14/2022,IM,AOg1,0.1,35.9
2022,7/14/2022,IM,AOg2,0.1,36.4
2022,7/20/2022,BM,AOg1,0.1,37.9
2022,7/20/2022,BM,AOg2,0.1,39.3
2022,7/20/2022,IM,AOg1,0.1,38.4
2022,7/20/2022,IM,AOg2,0.1,39.8
2022,8/2/2022,BM,AOg1,0.0,17.2
2022,8/2/2022,BM,AOg2,0.0,18.3
2022,8/2/2022,IM,AOg1,0.0,17.3
2022,8/2/2022,IM,AOg2,0.0,17.9
2022,8/10/2022,BM,AOg1,0.2,27.6
2022,8/10/2022,BM,AOg2,0.2,29.4
2022,8/10/2022,IM,AOg1,0.2,28.1
2022,8/10/2022,IM,AOg2,0.2,28.0
2022,8/17/2022,BM,AOg1,0.1,33.6
2022,8/17/2022,BM,AOg2,0.1,35.2
2022,8/17/2022,IM,AOg1,0.1,34.4
2022,8/17/2022,IM,AOg2,0.1,34.5
2022,8/29/2022,BM,AOg1,0.0,12.3
2022,8/29/2022,BM,AOg2,0.0,12.7
2022,8/29/2022,IM,AOg1,0.0,12.3
2022,8/29/2022,IM,AOg2,0.0,12.8
2022,9/16/2022,BM,AOg1,0.0,35.9
2022,9/16/2022,BM,AOg2,0.0,37.6
2022,9/16/2022,IM,AOg1,0.0,35.5
2022,9/16/2022,IM,AOg2,0.0,36.0
