Year,Date,Management,Treatment,Average LH,Crude Protein,Crude Fat,RFV,Dry Weight
2021,June,BAU/Weed,BAU,0.08,22.55,2.33,146.67,2.10
2021,June,Manure,BM,0.52,22.32,2.77,142.67,1.63
2021,June,Manure ,IM,0.43,22.61,2.5,142.09,1.70
2021,July,BAU/Weed,BAU,0.21,22.45,1.93,139.67,3.14
2021,July,Manure,BM,0.24,22.47,2.47,144.18,2.81
2021,July,Manure ,IM,0.23,23.49,2.77,150.91,2.55
2020,June,BAU/Weed,BAU,0.79,21.2,4.4,120.5,2.27
2020,June,Manure,BM,1.41,17.6,4.65,101,1.87
2020,June,Manure ,IM,1.29,19.3,3.95,103.5,2.03
2019,June,BAU/Weed,BAU,0.58,18.7,4.37,111,1.05
2019,June,Manure,BM,1.16,19.6,4.97,104.67,0.90
2019,June,Manure ,IM,0.74,18.93,4.37,111,0.95
2019,August,BAU/Weed,BAU,0.1,22.9,4.97,122,2.09
2019,August,Manure,BM,0.12,21.23,4.97,116.67,2.13
2019,August,Manure ,IM,0.1,22,4.93,117.67,2.03
2018,July,Pest,BAU,0.35,24.36,4.65,137.75,2.21
2018,July,Manure,BM,0.82,22.35,4.9,128.67,2.15
2018,July,Manure ,IM,0.66,23.48,5.02,130.4,2.09
