Year,Month,Date,Management,Treatment,Average LH,Crude Protein,Crude Fat,RFV,Dry Weight,Accumulated Precipitation,Alfalfa GDD,Leafhopper GDD
2016,June,16-Jun,Manure,BM,0.43,23.22,5.03,144.5,2.72,6.85,947,432
2017,June,17-Jun,Manure,BM,0.83,25.03,5.35,136,2.88,4.41,955,484
2017,July,17-Jul,Manure,BM,3.19,21.4,4.77,103.67,3.26,4.44,1779,957
2017,August,17-Aug,Manure,BM,0.16,20.98,3.58,104.33,3.13,4.44,2725,1500
2018,July,18-Jul,Manure,BM,0.82,22.35,4.9,128.67,2.15,10.72,1524,1107
2019,June,19-Jun,Manure,BM,1.16,19.6,4.97,104.67,0.9,11.83,646,575
2019,August,19-Aug,Manure,BM,0.12,21.23,4.97,116.67,2.13,14.2,2705,1841
2020,June,20-Jun,Manure,BM,1.41,17.6,4.65,101,1.87,17.34,906,496
2021,June,21-Jun,Manure,BM,0.52,22.32,2.77,142.67,1.63,14.21,1381,577
2021,July,21-Jul,Manure,BM,0.24,22.47,2.47,144.18,2.81,18.22,2374,1180
